Date,Name,Year,Letterboxd URI
2024-12-20,Waves,2019,https://boxd.it/jpmy
2024-12-22,Molly's Game,2017,https://boxd.it/dSl8
2024-12-23,Phantom Thread,2017,https://boxd.it/e4uc
2024-12-25,Rounders,1998,https://boxd.it/1WMS
2024-12-25,Before Midnight,2013,https://boxd.it/4ive
2024-12-25,Before Sunset,2004,https://boxd.it/2bcg
2025-01-04,All Quiet on the Western Front,2022,https://boxd.it/H08
2025-01-06,Inception,2010,https://boxd.it/1skk
2025-01-08,Due Date,2010,https://boxd.it/YFs
2025-01-09,Dallas Buyers Club,2013,https://boxd.it/4O8G
2025-02-22,Miss Congeniality,2000,https://boxd.it/28GM
2025-02-23,Taken,2008,https://boxd.it/1ZXa
2025-02-27,Companion,2025,https://boxd.it/F04o
2025-03-11,Brokeback Mountain,2005,https://boxd.it/2b2q
2025-03-16,One Day,2024,https://boxd.it/L1ZM
2025-03-16,Sicario,2015,https://boxd.it/8i7u
2025-03-22,Porky's,1981,https://boxd.it/1WJa
2025-03-24,A Knight's Tale,2001,https://boxd.it/1YAk
2025-03-29,Adolescence,2025,https://boxd.it/TFGw
2025-04-06,Meet Joe Black,1998,https://boxd.it/2aEI
2025-04-20,Warfare,2025,https://boxd.it/LbRo
2025-04-20,A Complete Unknown,2024,https://boxd.it/oBYa
2025-04-21,Arrival,2016,https://boxd.it/aNGk
